product,input,intent
블랙 슈즈,남성용 블랙 포멀 슈즈 한 켤레,신발|정장
스틸 가위,모든 욕실에 사용할 수 있는 면도기,뷰티|그루밍
백합 어레인지먼트,우리 재배자들이 신선하고 활기차게 배달한 백합 어레인지먼트,플로럴|어레인지먼트
어쿠스틱 드럼,이 어쿠스틱 드럼은 아마추어 및 전문 뮤지션에게 적합합니다.,악기|타악기
어쿠스틱 베이스,이 어쿠스틱 베이스는 아마추어 및 전문 음악가에게 적합합니다.,악기 | 현악기
커팅 보드,모든 주방에 꼭 맞는 제품,가정용품|주방
그레이 플레이트,주방에 꼭 필요한 아이템,가정용품|주방
장식용 양초,이 장식용 양초는 집 조명에 꼭 필요한 아이템입니다.,홈 데코 | 조명
비교할 수 없는 낚시 릴,모든 낚싯대에 맞는 비교할 수 없는 낚시 릴,야외|낚시
크리스마스 피규어,연말연시 머스트해브 아이템,계절|크리스마스
앤틱 화이트 직사각형 쿠션,이 앤틱 화이트 직사각형 쿠션은 집에 꼭 있어야 할 필수 아이템입니다.,홈 데코 | 쿠션
바이올린,이 바이올린은 가장 까다로운 음악가를 기쁘게 할 것입니다.,악기 | 현악기
트렌디 안경,이 트렌디한 남성용 안경은 타의 추종을 불허합니다.,액세서리|안경
골든 브라운 재킷,"보온성이 좋은 여성용 캐주얼 재킷, 사계절 착용",의류|재킷
페일 그레이 소파,이 부드러운 옅은 회색 소파를 즐기십시오,가구|소파
브라운 울 스웨터,겨울용 여성용 단열 캐주얼 재킷,의류|재킷
크로와상,주방에서 매일 신선하게 만드는 크로와상,식료품|베이커리
위커 바스켓,이 위커 바구니는 홈 데코를 위한 머스트해브 아이템입니다.,가정 장식 | 장식
크리스마스 피규어,연말연시 머스트해브 아이템,계절|크리스마스
브라운 슈즈,남성용 갈색 정장 신발 한 켤레,신발|정장
그랜드 피아노,이 그랜드 피아노는 가장 까다로운 음악가를 기쁘게 할 것입니다.,악기|키
게인즈버러 백팩,게인즈버러 여성용 백팩,액세서리|배낭
베이킹 디쉬,모든 주방에서 타의 추종을 불허합니다,가정용품|주방
로지 브라운 작업대,이 뛰어난 장밋빛 갈색 작업대로 생산성을 높이십시오.,가구|테이블
어쿠스틱 드럼,이 어쿠스틱 드럼은 가장 까다로운 뮤지션을 기쁘게 할 것입니다.,악기|타악기
면도기,모든 욕실에 사용할 수 있는 면도기,뷰티|그루밍
마룬 코트,단열 기능이 뛰어난 여성용 아웃도어 캐주얼 코트,의류|재킷
부활절 캔디,4월 초순에 가장 인기 있는 메뉴,계절|부활절
다크 카키 소파,이 멋진 짙은 카키색 소파를 즐기세요,가구|소파
건포도 밀기울 케이크,이 맛있는 건포도 밀기울 케이크는 모두를 기쁘게 할 것입니다,식료품|베이커리
가뭄에 강한 실내 식물,재배자들이 신선하고 활기차게 배송한 가뭄에 강한 실내 식물,꽃|식물
블랙 재킷,남성용 따뜻한 캐주얼 재킷,의류|재킷
플로랄 디자인 플레이트,모든 주방에 적합,가정용품|주방
행잉 램프,이 벽걸이 램프는 집을 더욱 돋보이게 할 것입니다,홈 데코 | 조명
스완키 샌들,멋진 여성용 샌들,신발|샌들
소고기,우리의 쇠고기는 농부들에 의해 지속 가능한 방식으로 사육됩니다.,식료품|고기
패셔너블 안경,이 세련된 여성용 안경은 어디에나 완벽합니다.,액세서리|안경
칠리,이 맛있는 채소는 모든 식료품 저장실에 꼭 있어야 할 필수품입니다.,식료품|야채
서브라임 스카프,서브라임 여성용 스카프,의류|스카프
비할 데 없는 팔찌,어떤 상황에도 잘 어울리는 여성용 비할 데 없는 팔찌,보석|팔찌
화이트 플레이트,주방에 꼭 필요한 아이템,가정용품|주방
핑크 핸드백,이 핑크색의 멋진 핸드백은 훌륭합니다,액세서리|핸드백
실내 식물,유기농 농장에서 지속 가능한 방식으로 재배한 실내 식물,꽃|식물
브레드,주방에서 매일 신선하게 만드는 빵,식료품|베이커리
칵테일 글라스,모든 주방에 꼭 맞는 제품,가정용품|주방
카메라,이 카메라는 특별한 순간을 포착하기에 안성맞춤입니다.,전자제품|카메라
코튼 스왑,모든 욕실의 필수품,뷰티|그루밍
블랙 재킷,남성용 따뜻한 올 시즌 캐주얼 재킷,의류|재킷
백합 어레인지먼트,우리 재배자들이 신선하고 활기차게 배달한 백합 어레인지먼트,플로럴|어레인지먼트
밀 색조 작업대,타의 추종을 불허하는 밀색 작업대로 생산성을 높이십시오.,가구|테이블
크리스마스 리스,휴일에 가장 좋아하는 것,계절|크리스마스
트렌디 벨트,모든 상황에 어울리는 트렌디한 벨트,액세서리|벨트
화이트 플레이트,주방에 꼭 필요한 아이템,가정용품|주방
핑크 앤 그린 스니커즈,핑크와 그린 컬러의 올라운드 울트라시크 스니커즈,신발|스니커즈
크리스마스 오너먼트,연말연시 머스트해브 아이템,계절|크리스마스
시에나 핸드백,모든 의상에 잘 어울리는 시에나 핸드백,액세서리|핸드백
식기 세트,주방에 꼭 필요한 아이템,가정용품|주방
업라이트 피아노,이 업라이트 피아노는 아마추어 및 전문 음악가에게 적합합니다.,악기|키
래비싱 브레이슬릿,어떤 손목에도 잘 어울리는 매력적인 여성용 팔찌,보석|팔찌
위커 바스켓,이 위커 바구니는 모두를 기쁘게 할 것입니다.,가정 장식 | 장식
게인즈버러 작업대,타의 추종을 불허하는 Gainsboro 작업대로 생산성을 높이십시오.,가구|테이블
하트 정복자를 위한 네일 바니시,사랑의 발톱으로 그/그녀의 마음을 사로잡으세요!,뷰티|그루밍
화이트 플레이트,주방에 꼭 필요한 아이템,가정용품|주방
